#,Job Title,Company,Location,Experience,Salary,Skills,Posted Date,Link
"11","Software Development Engineer in Test (Network Security)","Sophos Ltd.","Ahmedabad","4-5 Yrs","","save","1 week ago","https://www.naukri.com/job-listings-200526504794"
"12","QA Engineer","Adsparx","Gurugram","3-5 Yrs","","software testing, automation testing, manual testing, test cases, engineering, quality assurance engineering, assurance, defect reporting","1 day ago","https://www.naukri.com/job-listings-qa-engineer-adsparx-gurugram-3-to-5-years-010626501589"
"13","Validation & Support | C- DOT","National Institute for Smart Government (NISG)","New Delhi","1-6 Yrs","","Validation Testing, Software testing, C, DoT, Data validation","1 day ago","https://www.naukri.com/job-listings-validation-support-c-dot-national-institute-for-smart-government-nisg-new-delhi-1-to-6-years-300326006177"
"14","Solutions Engineer ( Based)","Bloom Equity Partners","Ghaziabad","2-7 Yrs","","Computer science, Automation, Backend, NoSQL, orchestration, Coding, Access management, Javascript","1 day ago","https://www.naukri.com/job-listings-solutions-engineer-based-bloom-equity-partners-ghaziabad-2-to-7-years-010626500890"
"15","Cybersecurity Engineer II","AMERICAN EXPRESS","Gurugram, Manesar","3-8 Yrs","","save","1 day ago","https://www.naukri.com/job-listings-cybersecurity-engineer-ii-american-express-india-gurugram-manesar-3-to-8-years-020626500908"
"16","Quality Engineer (Tester)","Accenture","Gurugram","3-8 Yrs","","quality engineer, sap, ai frameworks, ai, automated testing, automation, testing frameworks, security testing","1 day ago","https://www.naukri.com/job-listings-quality-engineer-tester-accenture-solutions-pvt-ltd-gurugram-3-to-8-years-010626913126"
"17","Software Development Engineer in Test","ISS Corporate Solutions","Gurugram","2-5 Yrs",", pa","Structured products, Automation, Corporate governance, Diversity and Inclusion, ISS, Troubleshooting, SQL, Testing","1 day ago","https://www.naukri.com/job-listings-software-development-engineer-in-test-iss-corporate-solutions-gurugram-2-to-5-years-010626504999"
"18","Validation Testing Consultant","ZS","Gurugram, Pune","3-8 Yrs","","Validation Testing, Gxp, FDA, Csv, GMP, JIRA, Computer System Validation, 21 Cfr Part 11","1 day ago","https://www.naukri.com/job-listings-validation-testing-consultant-zs-pune-gurugram-3-to-8-years-010626028972"
"19","Senior IVV Engineer","Thales India Pvt Ltd","Ghaziabad","4-8 Yrs","","save","1 week ago","https://www.naukri.com/job-listings-200526500486"
"20","Walk-in || Tcs hiring Application Packaging For Gurugram","Tata Consultancy Services","Gurugram","06 Jun","","Flexera Admin Studio, Application Packaging, MSI, Installation, Snow, repackage, Standardization, convert","1 day ago","https://www.naukri.com/job-listings-tcs-hiring-application-packaging-for-gurugram-tata-consultancy-services-gurugram-4-to-8-years-020626028619"
"21","AI Solutions Engineer","Environmental Resources Management (ERM)","New Delhi","2-5 Yrs","","Computer science, EHS, ERM, Prototype, Coding, Consulting, Javascript, Workflow","1 day ago","https://www.naukri.com/job-listings-ai-solutions-engineer-erm-india-private-limited-new-delhi-2-to-5-years-010626501198"
"22","Associate TSE II","Mongodb","Gurugram","1-4 Yrs","","Nosql, Dba, Customer Service, Diagnostics, Ai, Advocate, Docker, Javascript","1 day ago","https://www.naukri.com/job-listings-associate-tse-ii-mongodb-software-india-private-limited-gurugram-1-to-4-years-010626922830"
"23","Cyber Security - Consultant","Iris Software","Noida","3-7 Yrs","","Devops, Automation, Financial Services, Networking, Soc, Security Engineering, Transportation, Network Security","1 day ago","https://www.naukri.com/job-listings-cyber-security-consultant-iris-software-technologies-private-limited-noida-3-to-7-years-010626922519"
"24","Domain Support Specialist- RAN","Cradlepoint Part Of Ericsson","Noida","2-6 Yrs","","Computer science, Change management, Assurance, Problem management, Incident management, SCM, Operations, Technical support","1 day ago","https://www.naukri.com/job-listings-domain-support-specialist-ran-cradlepoint-part-of-ericsson-noida-2-to-6-years-010626504224"
"25","Quality Engineer","Persistent","Gurugram","4-6 Yrs","","Golang, Java, Node.Js, React.Js, Python, Quality engineering, Quality","4 days ago","https://www.naukri.com/job-listings-quality-engineer-persistent-gurugram-4-to-6-years-290526017559"
"26","QA Engineer","Rockwell Automation","New Delhi","2-8 Yrs","","software testing, regression testing, automation testing, cucumber, manual testing, engineering, quality assurance engineering, selenium webdriver","4 days ago","https://www.naukri.com/job-listings-qa-engineer-rockwell-automation-new-delhi-2-to-8-years-290526502171"
"27","AI Test Engineer","Elaarson Industries","Greater Noida","3-6 Yrs","","System testing, Automation, Functional testing, Agile, Selenium, Test cases, Troubleshooting, SDLC","4 days ago","https://www.naukri.com/job-listings-ai-test-engineer-elaarson-industries-greater-noida-3-to-6-years-290526502178"
"28","Clover - Professional, Quality Assurance Engineering (SDET)","Fiserv","Noida","2-5 Yrs","","Quality Assurance, Java, Maven, Automation, Github, Clover, Restful, Manual Testing","5 days ago","https://www.naukri.com/job-listings-clover-professional-quality-assurance-engineering-sdet-fiserv-india-pvt-ltd-noida-2-to-5-years-280526926927"
"29","QA - India ( Night Shift )","CG Infinity","Noida","4-9 Yrs","","Backend, Manager Quality Assurance, Production support, Coding, Analytical, Outsourcing, Monitoring, CRM","5 days ago","https://www.naukri.com/job-listings-qa-india-night-shift-cg-infinity-noida-4-to-9-years-280526503452"
"30","Software Test Engineer (QA)","Applied Information Inc (India)","Chandigarh, Mohali","3-7 Yrs","","Automation Selenium, API Testing, SQL Database, MANUAL, Jmeter Load Testing, Postman Api, Web Application Testing, AI-testing tool","4 days ago","https://www.naukri.com/job-listings-software-test-engineer-qa-applied-information-inc-india-mohali-chandigarh-3-to-7-years-190925018915"
"31","Senior Software Development Engineer in Test","Leadventure India","Gurugram","4-9 Yrs","","Product management, Automation, Manager Quality Assurance, Load testing, PHP, Genetics, software quality, microsoft","6 days ago","https://www.naukri.com/job-listings-senior-software-development-engineer-in-test-leadventure-india-gurugram-4-to-9-years-270526502374"
"32","Senior Software Engineer","S&P Global Market Intelligence","Gurugram","3-6 Yrs","","Senior Software Engineer, s3, rds, issue resolution, full stack developer, iac, ui ux, sql","6 days ago","https://www.naukri.com/job-listings-senior-software-engineer-s-p-capital-iq-india-pvt-ltd-gurugram-3-to-6-years-270526927885"
"33","Sr Engineer-Testing Services","Birlasoft","Noida","4-7 Yrs","","tfs, web services, software testing, test management, automation testing, hp qtp, test cases, manual testing","5 days ago","https://www.naukri.com/job-listings-sr-engineer-testing-services-birlasoft-india-limited-noida-4-to-7-years-280526503545"
"34","RPA / AI Engineer","Bahwan CyberTek","New Delhi","3-6 Yrs","","Process automation, Automation, Usage, Javascript, Scheduling, Budgeting, Test cases, SDK","6 days ago","https://www.naukri.com/job-listings-rpa-ai-engineer-bahwan-cybertek-new-delhi-3-to-6-years-270526500796"
"35","QA Engineer - Mobile","Ecifm Solutions","Gurugram(Udyog Vihar Phase 5)","3-5 Yrs","4-8 Lacs PA","Qa Manual Testing, Mobile Application Testing, IOS, Manual Functional Testing, Android, Mobile Automation Testing, Mobile Testing, Manual Testing","6 days ago","https://www.naukri.com/job-listings-qa-engineer-mobile-ecifm-solutions-gurugram-3-to-5-years-250526026254"
"36","Test Analyst (SDET) - Automation","Hexaware Technologies","Noida","2-4 Yrs","","Computer science, Manager Quality Assurance, Selenium, Test cases, QTP, JIRA, Information technology, SDLC","4 days ago","https://www.naukri.com/job-listings-test-analyst-sdet-automation-hexaware-technologies-noida-2-to-4-years-290526502961"
"37","TTT-ServiceNow with AI skillset-Tax Senior Professional","EY","Noida","4-8 Yrs","","Automation, Assurance, Analytical, CAD, Consulting, Integration testing, Javascript, Agile","6 days ago","https://www.naukri.com/job-listings-ttt-servicenow-with-ai-skillset-tax-senior-professional-ernst-young-noida-4-to-8-years-270526503527"
"38","Urgent Hiring - QA & Automation Engineer","Desicrew Solutions","New Delhi, Noida, Greater Noida, Gurugram, Delhi / NCR","4-6 Yrs","8-9 Lacs PA","Automation Testing, Quality Assurance, Python, Unix, Integration, Linux, Python Testing, Microservices","1 day ago","https://www.naukri.com/job-listings-urgent-hiring-qa-automation-engineer-desicrew-solutions-noida-new-delhi-gurugram-greater-noida-delhi-ncr-4-to-6-years-020626013775"
"39","Software Development Engineer","Adobe","Noida","1-6 Yrs","","Computer science, Automation, Backend, C++, Hibernate, Coding, Debugging, Agile","4 days ago","https://www.naukri.com/job-listings-software-development-engineer-adobe-systems-india-pvt-ltd-noida-1-to-6-years-260526504508"
"40","QA Engineer & Technical Support","Business Thrust Techsoft","Noida","2-4 Yrs","","Computer science, Automation, Service level, Simulation, Consulting, Agile, software quality, Information technology","6 days ago","https://www.naukri.com/job-listings-qa-engineer-technical-support-bttechsoft-noida-2-to-4-years-270526501498"
"41","SDL Integrator Professional","Capgemini","Noida","3-7 Yrs","","Sql, Technical Documentation, Automation, Customer Success, Http, Soap, Vmware, Telecom Software","4 days ago","https://www.naukri.com/job-listings-sdl-integrator-professional-capgemini-technology-services-india-limited-noida-3-to-7-years-290526905237"
"42","Business Analyst","Iris Software","Noida","2-5 Yrs","","Business Analyst, Automation, User Stories, Banking, Software Testing, Process Improvement, Jira, Devops","6 days ago","https://www.naukri.com/job-listings-business-analyst-iris-software-technologies-private-limited-noida-2-to-5-years-270526935661"
"43","AI/ML Engineer (LangChain + RAG + Multi-Agent)","Cloudzent Technology Services","Gurugram","3-8 Yrs","","Computer science, CMS, Windows, SEO, Forecasting, Analytics, Monitoring, SQL","4 days ago","https://www.naukri.com/job-listings-ai-ml-engineer-langchain-rag-multi-agent-cloudzent-technology-services-gurugram-3-to-8-years-290526505851"
"44","Playwright automation -Pan INDIA","Infosys","Delhi / NCR, Hyderabad, Bengaluru","4-9 Yrs"," -Pa","Playwright Automation, Automation, Playwright, Pan","5 days ago","https://www.naukri.com/job-listings-playwright-automation-pan-india-infosys-hyderabad-bengaluru-delhi-ncr-4-to-9-years-190526035860"
"45","Quality Automation Analyst","Natwest Digitalx","Gurugram, Chennai","2-5 Yrs",", pa","Automation, Java, Open Source, Compliance, Agile Methodologies, Automated Testing, Ai, Ai Tools","6 days ago","https://www.naukri.com/job-listings-quality-automation-analyst-natwest-digital-services-india-pvt-ltd-chennai-gurugram-2-to-5-years-270526935727"
"46","WordPress - Senior Engineer","Iris Software","Noida","2-5 Yrs","","debugging, Css, Automation, Ux, Financial Services, Full Stack, Asana, Project Management Tools","4 days ago","https://www.naukri.com/job-listings-wordpress-senior-engineer-iris-software-technologies-private-limited-noida-2-to-5-years-290526920473"
"47","AI Engineer - ElevenLabs","SWS Smart Working Solutions","Noida, Kochi, Mumbai, Indore, Pune, Chennai, Jaipur","2-5 Yrs",", K","remediation, Automation, Artificial Intelligence, Workflow, Customer support, VB, Middleware, Operations","4 days ago","https://www.naukri.com/job-listings-ai-engineer-elevenlabs-smart-working-noida-kochi-mumbai-indore-pune-chennai-jaipur-2-to-5-years-290526506539"
"48","MASTER DATA ANALYST","Rockwell Automation","New Delhi","4-7 Yrs","","Supply chain, ERP, Automation, SAP ERP, Manager Quality Assurance, Process improvement, IFS, Agile","4 days ago","https://www.naukri.com/job-listings-master-data-analyst-rockwell-automation-new-delhi-4-to-7-years-290526501032"
"49","ST P And U-AMI-Senior Professional","EY","Noida","4-7 Yrs","","Process design, Automation, metadata, Assurance, Data validation, Architecture, Business analysis, Consulting","4 days ago","https://www.naukri.com/job-listings-st-p-and-u-ami-senior-professional-ernst-young-noida-4-to-7-years-290526507704"
"50","Senior Associate-RMS Digital RM-Tech Enablement","EY","Gurugram","3-5 Yrs","","Assurance, Project management, Analytical, Consulting, Anti money laundering, MS Office, Risk management, Business intelligence","5 days ago","https://www.naukri.com/job-listings-senior-associate-rms-digital-rm-tech-enablement-ernst-young-gurugram-3-to-5-years-280526503954"
"51","QA Engineer","Doublu India Private Limited","Noida","3-6 Yrs","10-15 Lacs PA","Selenium Testing, Manual Testing, Automation Testing, Quality Assurance Engineering, Automation, Qa Manual, Appium, Medical Devices","2 weeks ago","https://www.naukri.com/job-listings-qa-engineer-doublu-noida-3-to-6-years-130226019872"
"52","Software Development Engineer in Test","sigfig-2","Noida","3-5 Yrs","","SAN, Automation, Manager Quality Assurance, Javascript, Selenium, Ruby, SDLC, Monitoring","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-in-test-sigfig-2-noida-3-to-5-years-250526502276"
"53","Test - Priyankka Professional","IIFL Home Finance","Gurugram","0-5 Yrs","","software testing, appium, automation testing, version control, manual testing, test cases, functional testing, test engineering","1 week ago","https://www.naukri.com/job-listings-test-priyankka-professional-iifl-home-finance-gurugram-0-to-5-years-210526505729"
"54","Senior Quality Assurance Engineer","ALT Digital Technologies","Noida","4-5 Yrs","","Computer science, Stress testing, Automation, Manager Quality Assurance, Load testing, Analytical, Debugging, Selenium","1 week ago","https://www.naukri.com/job-listings-senior-quality-assurance-engineer-alt-digital-technologies-noida-4-to-5-years-260526503195"
"55","Engineers (Agentic / Automation)","Stack Digital","New Delhi","2-6 Yrs","","c#, rest, python, orchestration, automation testing, engineering, artificial intelligence, javascript","1 week ago","https://www.naukri.com/job-listings-engineers-agentic-automation-stack-digital-new-delhi-2-to-6-years-260526505724"
"56","Manual Quality Assurance Engineer, SIMBA Team","Speechify","Noida","3-8 Yrs","","Manager Quality Assurance, Project management, Debugging, Agile, Regression testing, Customer support, Test cases, Troubleshooting","1 week ago","https://www.naukri.com/job-listings-manual-quality-assurance-engineer-simba-team-speechify-noida-3-to-8-years-220526502887"
"57","Software Development Engineer III - Agency Experience","Highlevel Llc","New Delhi","4-9 Yrs","","Automation, Backend, Data modeling, Postgresql, Billing, System design, MongoDB, Distribution system","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-iii-agency-experience-highlevel-new-delhi-4-to-9-years-210526502952"
"58","Quality Engineer","Accenture","Gurugram","4-9 Yrs","","Quality Engineering, continuous integration, bdd, automation testing, cucumber, automated test scripts, javascript, api automation","1 week ago","https://www.naukri.com/job-listings-quality-engineer-accenture-solutions-pvt-ltd-gurugram-4-to-9-years-250526917710"
"59","Software Development Engineer in Test (Network Security)","Sophos","New Delhi","4-5 Yrs","","Unix, Networking, Automation tools, Agile, DNS, Network security, HTTP, Windows","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-in-test-network-security-sophos-ltd-new-delhi-4-to-5-years-210526507283"
"60","Quality Assurance Engineer","Ushyaku","Gurugram","4-9 Yrs","","quality assurance, front end, python, software development, software testing, test automation, automation testing, manual testing","1 week ago","https://www.naukri.com/job-listings-quality-assurance-engineer-ushyaku-software-solutions-gurugram-4-to-9-years-200526915249"
"61","Engineer I QA/Testing","Anaplan","Gurugram","2-7 Yrs","","Product management, Analytical, Agile, Selenium, Test cases, Adobe, JIRA, Software quality assurance","1 week ago","https://www.naukri.com/job-listings-engineer-i-qa-testing-anaplan-inc-gurugram-2-to-7-years-220526502767"
"62","Quality Engineering Lead","Axis Max Life Insurance","Gurugram","2-8 Yrs","","Automation, Data management, Test strategy, Functional testing, Test management, Integration testing, Agile, Selenium","1 week ago","https://www.naukri.com/job-listings-quality-engineering-lead-axis-max-life-insurance-limited-gurugram-2-to-8-years-210526505006"
"63","Senior Test Engineer - Functional","Crestech Software Systems","Gurugram","3-5 Yrs","","Automation, Manual testing, Test scripts, Test strategy, Test execution, Agile, Test planning, Test cases","1 week ago","https://www.naukri.com/job-listings-senior-test-engineer-functional-crestech-software-systems-pvt-ltd-gurugram-3-to-5-years-110924503081"
"64","Escalation Engineer Client Services","Thales","Noida","2-7 Yrs","","Compliance, Networking, Linux, Aviation, VPN, XML, Troubleshooting, Oracle","1 week ago","https://www.naukri.com/job-listings-escalation-engineer-client-services-thales-india-pvt-ltd-noida-2-to-7-years-260526503955"
"65","QA Engineer","Rezo.ai","Noida","2-4 Yrs","","MySQL, JMeter, API Testing, Ci/Cd, Manual Testing, Quality Assurance, Quality Testing, Postman","1 week ago","https://www.naukri.com/job-listings-qa-engineer-rezo-ai-noida-2-to-4-years-220526016539"
"66","Software Development Engineer III | LC Phone","Highlevel Llc","New Delhi","4-9 Yrs","","Automation, Software design, Backend, Front end, NoSQL, Compliance, MongoDB, Open source","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-iii-lc-phone-highlevel-new-delhi-4-to-9-years-210526503427"
"67","Software Development Engineer III - Content Hub (Mobile Flutter)","Highlevel Llc","New Delhi","4-9 Yrs","","Backend, Architecture, Artificial Intelligence, Debugging, mobile architecture, Product design, Mobile applications, IOS","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-iii-content-hub-mobile-flutter-highlevel-new-delhi-4-to-9-years-210526502957"
"68","Software Development Engineer III | Whatsapp","Highlevel Llc","New Delhi","4-9 Yrs","","Automation, Software design, Backend, Front end, NoSQL, Compliance, MongoDB, Open source","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-iii-whatsapp-highlevel-new-delhi-4-to-9-years-210526502951"
"69","Senior QA Manual Tester","Clouwood Studio","Delhi / NCR, Mumbai, Bengaluru","3-5 Yrs","","TestRail, Jira, Agile methodologies, test cases, test scripts, bug reports, Manual testing, Agile","1 week ago","https://www.naukri.com/job-listings-senior-qa-manual-tester-clouwood-studio-mumbai-delhi-ncr-bengaluru-3-to-5-years-250526926927"
"70","Data Engineer - Full Stack","Maruti Suzuki Arena Ktl","Gurugram","3-8 Yrs","","Cloud computing, Front end, Database design, Postgresql, MySQL, Debugging, Application security, Automotive","1 week ago","https://www.naukri.com/job-listings-data-engineer-full-stack-maruti-suzuki-arena-ktl-gurugram-3-to-8-years-220526501327"
"71","Software Development Engineer III | Full stack - Wallet","Highlevel Llc","New Delhi","4-7 Yrs","","Automation, Backend, Managed services, Artificial Intelligence, Billing, OLAP, MongoDB, Open source","1 week ago","https://www.naukri.com/job-listings-software-development-engineer-iii-full-stack-wallet-highlevel-new-delhi-4-to-7-years-210526503554"
"72","Lead Software Developer","S&P Global Market Intelligence","Noida, Hyderabad","4-7 Yrs","","Software Developer, Java, Api Gateway, Architecture, Postgresql, Sql Server, Restful, Spring Boot","1 week ago","https://www.naukri.com/job-listings-lead-software-developer-s-p-capital-iq-india-pvt-ltd-noida-hyderabad-4-to-7-years-200526937719"
"73","App Dev Engineer II","NCR Atleos","Gurugram","4-9 Yrs","","Performance tuning, Automation, Production support, Debugging, Javascript, Agile, SDLC, SQL","1 week ago","https://www.naukri.com/job-listings-app-dev-engineer-ii-ncr-atleos-gurugram-4-to-9-years-210526503424"
"74","Quality Analyst","Axis Max Life Insurance","Gurugram","0-4 Yrs","","Automation, Manager Quality Assurance, Testing tools, Functional testing, Integration testing, Agile, Test cases, Internship","1 week ago","https://www.naukri.com/job-listings-quality-analyst-axis-max-life-insurance-limited-gurugram-0-to-4-years-210526505019"
"75","Urgent Hiring: QA & Automation Engineer","Desicrew Solutions","Noida, Gurugram, Delhi / NCR","4-6 Yrs","8-9 Lacs PA","Automation Testing, Unix, Integration, Linux, Python Testing, Cloud, Microservices, Python","5 days ago","https://www.naukri.com/job-listings-urgent-hiring-qa-automation-engineer-desicrew-solutions-noida-gurugram-delhi-ncr-4-to-6-years-260526032507"
"76","QA Data Engineer","Sparix Global","Noida","2-5 Yrs","","ERP, Automation, SAP, MySQL, Shell scripting, Perl, Oracle, Information technology","1 week ago","https://www.naukri.com/job-listings-qa-data-engineer-sparix-global-private-limited-noida-2-to-5-years-260526502871"
